run_id,model,surface,real_split,layer,normalized_depth,real_template_accuracy,nonce_heldout_accuracy,real_to_nonce_accuracy,nonce_to_real_accuracy,transfer_mean_accuracy,centroid_nearest_accuracy,centroid_alignment_margin,overlap_template_eta2,overlap_source_eta2,source_eta2_on_pc1,token_count_r2_on_pc1,balanced_layer_score
REP01_E06,Qwen3-8B,base,item,36,1.0,0.5384615384615384,0.9,0.59,0.56,0.575,0.30000000000000004,0.1395605504512787,0.09975572253657752,0.08374107183335333,0.029298846372764777,0.2938427070279492,0.857358801860938
REP01_E06b,Qwen3-8B,full,family,0,0.0,0.4861111111111111,0.45,0.39,0.4266666666666667,0.4083333333333333,0.4,0.15562526881694794,0.03865443181533056,0.02386502334517881,0.11430004954714221,0.0782538699919366,0.9205301113071184
REP01_E06b,Qwen3-8B,full,family,1,0.027777777777777776,0.7222222222222222,0.75,0.6,0.7,0.6499999999999999,0.7,0.3816335201263428,0.07042898286672507,0.032264429673309315,0.14739103774041692,0.07174713970646757,1.6814323055264164
REP01_E06b,Qwen3-8B,full,family,2,0.05555555555555555,0.8611111111111112,0.95,0.73,0.8266666666666667,0.7783333333333333,0.8,0.4054005742073059,0.07612291417071076,0.0367438042108719,0.02774928840287909,0.28636295325947303,1.8753993650148992
REP01_E06b,Qwen3-8B,full,family,3,0.08333333333333333,0.875,0.95,0.76,0.8733333333333333,0.8166666666666667,0.8,0.4060041010379791,0.076403772679149,0.03858094083993039,0.02290867365435913,0.26325433268593934,1.9182762436932306
REP01_E06b,Qwen3-8B,full,family,4,0.1111111111111111,0.9027777777777778,0.95,0.85,0.84,0.845,0.9,0.5109769105911255,0.10195049440886916,0.04040830411165007,0.014105354779799946,0.2629822286277137,2.1498230493225474
REP01_E06b,Qwen3-8B,full,family,5,0.1388888888888889,0.8888888888888888,0.95,0.86,0.9066666666666666,0.8833333333333333,0.9,0.49562132358551025,0.09176782003666495,0.04086374875994994,0.040523171030945965,0.20399203662778526,2.1870928990019474
REP01_E06b,Qwen3-8B,full,family,6,0.16666666666666666,0.9305555555555556,0.95,0.89,0.8866666666666667,0.8883333333333334,0.9,0.4985044300556183,0.09150718999965596,0.03717782673021701,0.22663670154861998,9.506527205528586e-05,2.249636170340721
REP01_E06b,Qwen3-8B,full,family,7,0.19444444444444445,0.9166666666666666,0.95,0.84,0.88,0.86,0.4,0.0005564093589782715,0.030003994966326313,0.03341056186276266,0.009723405771642513,0.22045833693274955,1.172031263263028
REP01_E06b,Qwen3-8B,full,family,8,0.2222222222222222,0.9027777777777778,1.0,0.81,0.84,0.825,0.4,0.0005705952644348145,0.03000478505217989,0.03343362662766094,0.009733077790220045,0.2205239888279753,1.1370059714297802
REP01_E06b,Qwen3-8B,full,family,9,0.25,0.9027777777777778,1.0,0.78,0.8866666666666667,0.8333333333333334,0.4,0.0006531327962875366,0.03002969502242663,0.033421071572556305,0.009724777161126096,0.2206158551832643,1.1454114307612486
REP01_E06b,Qwen3-8B,full,family,10,0.2777777777777778,0.875,1.0,0.77,0.8666666666666667,0.8183333333333334,0.4,0.0007071048021316528,0.030057374132343394,0.03339440652688938,0.009712622149586781,0.22065315663005836,1.1304827424510608
REP01_E06b,Qwen3-8B,full,family,11,0.3055555555555556,0.8333333333333334,1.0,0.72,0.8333333333333334,0.7766666666666666,0.4,0.0007747113704681396,0.030066009062447562,0.03332838018724747,0.009681745279064234,0.2206548426118185,1.0889492871969328
REP01_E06b,Qwen3-8B,full,family,12,0.3333333333333333,0.8194444444444444,0.85,0.71,0.7533333333333333,0.7316666666666667,0.4,0.000796198844909668,0.03007466207919115,0.03335089745653425,0.00969412175452695,0.22068102699940187,1.0439417113051919
REP01_E06b,Qwen3-8B,full,family,13,0.3611111111111111,0.8194444444444444,0.85,0.71,0.7533333333333333,0.7316666666666667,0.4,0.0008300095796585083,0.030052824700786615,0.03333595909513808,0.009686650695820908,0.22055423032798452,1.0440221595691912
REP01_E06b,Qwen3-8B,full,family,14,0.3888888888888889,0.8055555555555556,0.8,0.69,0.68,0.685,0.4,0.0008965730667114258,0.030046938063913724,0.0333538468734077,0.009696033902085174,0.22068495895910076,0.9973714864535284
