run_id,model,surface,real_split,layer,normalized_depth,source_eta2_on_pc1,template_eta2_on_pc1,real_template_eta2_on_pc1,real_affix_eta2_on_pc1,token_count_r2_on_pc1
REP01_E06,Qwen3-8B,base,item,25,0.6944444444444444,0.060814389646493876,0.13294126102118956,0.28097286460801113,nan,0.36591200049173295
REP01_E06,Qwen3-8B,base,item,26,0.7222222222222222,0.06046563724868071,0.13311685620481506,0.28100791230504146,nan,0.36585771375406556
REP01_E06,Qwen3-8B,base,item,27,0.75,0.06000440211938341,0.1332335455690357,0.28100505877606935,nan,0.36560969957754924
REP01_E06,Qwen3-8B,base,item,28,0.7777777777777778,0.05983674796102057,0.1332630492754093,0.2809620184481503,nan,0.3656357016930187
REP01_E06,Qwen3-8B,base,item,29,0.8055555555555556,0.05928034847835727,0.13352756434184715,0.28132575812110794,nan,0.3648593363572606
REP01_E06,Qwen3-8B,base,item,30,0.8333333333333334,0.05901772073174224,0.13348911240990738,0.28117233338339875,nan,0.36446331293102485
REP01_E06,Qwen3-8B,base,item,31,0.8611111111111112,0.05881208242102407,0.1335900735550611,0.2814457427858654,nan,0.3643888207003113
REP01_E06,Qwen3-8B,base,item,32,0.8888888888888888,0.059249015673769896,0.13374465836530658,0.2819018255313686,nan,0.36449872590695837
REP01_E06,Qwen3-8B,base,item,33,0.9166666666666666,0.05958709367082203,0.13370025747589698,0.28213938577976294,nan,0.36490380232391023
REP01_E06,Qwen3-8B,base,item,34,0.9444444444444444,0.06032990068366485,0.13330126024595565,0.2820593905492698,nan,0.3650793265006927
REP01_E06,Qwen3-8B,base,item,35,0.9722222222222222,0.0659606493745512,0.1309804789188566,0.27926285717495536,nan,0.36808679510520925
REP01_E06,Qwen3-8B,base,item,36,1.0,0.029298846372764777,0.11194134936405448,0.26356069326148507,nan,0.2938427070279492
REP01_E06b,Qwen3-8B,full,family,0,0.0,0.11430004954714221,0.31589044484334033,0.2804482903715425,0.03819276470846945,0.0782538699919366
REP01_E06b,Qwen3-8B,full,family,1,0.027777777777777776,0.14739103774041692,0.6081267473241891,0.6150503752601736,0.09049680955359071,0.07174713970646757
REP01_E06b,Qwen3-8B,full,family,2,0.05555555555555555,0.02774928840287909,0.09423833655784952,0.13703589889677592,0.08078101170613369,0.28636295325947303
REP01_E06b,Qwen3-8B,full,family,3,0.08333333333333333,0.02290867365435913,0.07282602189187576,0.10720491128714062,0.08785605571027094,0.26325433268593934
REP01_E06b,Qwen3-8B,full,family,4,0.1111111111111111,0.014105354779799946,0.0930460596303681,0.12017841989225046,0.09782622436852037,0.2629822286277137
REP01_E06b,Qwen3-8B,full,family,5,0.1388888888888889,0.040523171030945965,0.10759298671367437,0.1420947060331397,0.025342696115939724,0.20399203662778526
REP01_E06b,Qwen3-8B,full,family,6,0.16666666666666666,0.22663670154861998,0.16376910082405377,0.15098778947828964,0.13275993248544513,9.506527205528586e-05
REP01_E06b,Qwen3-8B,full,family,7,0.19444444444444445,0.009723405771642513,0.051616433876984544,0.07862791355498278,0.08258633151528198,0.22045833693274955
REP01_E06b,Qwen3-8B,full,family,8,0.2222222222222222,0.009733077790220045,0.0516116079748122,0.0786286136860577,0.08260020614741821,0.2205239888279753
REP01_E06b,Qwen3-8B,full,family,9,0.25,0.009724777161126096,0.05164016487521499,0.07865287667964843,0.08261821026458883,0.2206158551832643
REP01_E06b,Qwen3-8B,full,family,10,0.2777777777777778,0.009712622149586781,0.051656691003750664,0.07866000650233966,0.0826409901013118,0.22065315663005836
REP01_E06b,Qwen3-8B,full,family,11,0.3055555555555556,0.009681745279064234,0.051652922371695255,0.07863474519426111,0.08268859887762287,0.2206548426118185
REP01_E06b,Qwen3-8B,full,family,12,0.3333333333333333,0.00969412175452695,0.051640889491599756,0.07861978526482064,0.08271611696958736,0.22068102699940187
REP01_E06b,Qwen3-8B,full,family,13,0.3611111111111111,0.009686650695820908,0.05163111566618247,0.07861410824500571,0.08266812266331368,0.22055423032798452
REP01_E06b,Qwen3-8B,full,family,14,0.3888888888888889,0.009696033902085174,0.05162102745607418,0.07860796348164055,0.08273934920092535,0.22068495895910076
REP01_E06b,Qwen3-8B,full,family,15,0.4166666666666667,0.009670734863684449,0.05161949545059941,0.0785961901676553,0.08278454730719416,0.22075942096549403
REP01_E06b,Qwen3-8B,full,family,16,0.4444444444444444,0.009673012711961304,0.051626260276664275,0.07860978728588924,0.08277447540700135,0.22075858235461868
REP01_E06b,Qwen3-8B,full,family,17,0.4722222222222222,0.009688981020767306,0.05167011103548882,0.07860959569042288,0.08273351032343532,0.2208386093436203
REP01_E06b,Qwen3-8B,full,family,18,0.5,0.009688635032636592,0.051642037313089015,0.07857414340490328,0.08271585927004324,0.22078853624708203
REP01_E06b,Qwen3-8B,full,family,19,0.5277777777777778,0.009714203353818594,0.051597401794493555,0.07853804520671137,0.08271658958162274,0.2208109789390134
REP01_E06b,Qwen3-8B,full,family,20,0.5555555555555556,0.00979517205195691,0.051543513051198586,0.07851571809559782,0.08271121508294088,0.2207768386295845
REP01_E06b,Qwen3-8B,full,family,21,0.5833333333333334,0.00976467723125119,0.05152888017493722,0.07848107061286959,0.08272005441744246,0.22078956199490787
REP01_E06b,Qwen3-8B,full,family,22,0.6111111111111112,0.009759442888001797,0.05152162473787805,0.07846854634313609,0.0827282069638798,0.22082679251668072
REP01_E06b,Qwen3-8B,full,family,23,0.6388888888888888,0.009732156649587147,0.05156184531861373,0.07853098492725717,0.08263402754842113,0.22068464184373215
REP01_E06b,Qwen3-8B,full,family,24,0.6666666666666666,0.009725392918501993,0.05150327205390798,0.07847389632811698,0.08256446088348308,0.22049688695900072
REP01_E06b,Qwen3-8B,full,family,25,0.6944444444444444,0.009621047023517468,0.051563818851065375,0.07844313647669628,0.08250087606873663,0.22024043377424538
REP01_E06b,Qwen3-8B,full,family,26,0.7222222222222222,0.009433128708226338,0.05175522658999784,0.07851721845177514,0.08258935567885801,0.2204646642830998
REP01_E06b,Qwen3-8B,full,family,27,0.75,0.009157308372449543,0.05180420712852058,0.07839856389815851,0.08282766388741442,0.22068566612930735
REP01_E06b,Qwen3-8B,full,family,28,0.7777777777777778,0.009037694367135841,0.051762780689089335,0.0782520815805838,0.08299674325034394,0.22081897819666074
REP01_E06b,Qwen3-8B,full,family,29,0.8055555555555556,0.008813926614986794,0.05198277329316456,0.078389821910118,0.08284615306519572,0.22038737331060057
REP01_E06b,Qwen3-8B,full,family,30,0.8333333333333334,0.008620357644015203,0.051761758874367,0.07797706636943078,0.08314204667845683,0.22027211695080137
REP01_E06b,Qwen3-8B,full,family,31,0.8611111111111112,0.008349698789295193,0.05166982324180815,0.07775158972885361,0.083874227848206,0.22073872644727469
REP01_E06b,Qwen3-8B,full,family,32,0.8888888888888888,0.008695440960247647,0.05152040720647686,0.07776082116143705,0.08323834544946085,0.21982577994886
REP01_E06b,Qwen3-8B,full,family,33,0.9166666666666666,0.008579870552183014,0.05110918944536639,0.07723518031502251,0.08435858257510723,0.220658267610844
REP01_E06b,Qwen3-8B,full,family,34,0.9444444444444444,0.009085676459715407,0.05095731945393663,0.07742157564725143,0.08365085086058151,0.219489108225855
REP01_E06b,Qwen3-8B,full,family,35,0.9722222222222222,0.012816468179102676,0.04916690621519089,0.07653992687713891,0.08009554171507396,0.21453743832768904
REP01_E06b,Qwen3-8B,full,family,36,1.0,0.011007312294375219,0.05698973250090347,0.059179552503977176,0.11629628865357976,0.16953866549474808
REP01_E07,Fanar-1-9B,base,item,0,0.0,0.2806140123627863,0.28195339791128066,0.18925647666142142,nan,0.3321549880694434
REP01_E07,Fanar-1-9B,base,item,1,0.023809523809523808,0.30073429060863477,0.2480510252912089,0.34657310466248287,nan,0.14421341628560855
REP01_E07,Fanar-1-9B,base,item,2,0.047619047619047616,0.3670903521871728,0.24537314329963159,0.23697584958542006,nan,0.27153936224083114
REP01_E07,Fanar-1-9B,base,item,3,0.07142857142857142,0.542719710492237,0.3264651062934511,0.3337001892177832,nan,0.4412513895054098
