run_id,model,surface,real_split,layer,normalized_depth,overlap_template_eta2,overlap_source_eta2,real_template_eta2,real_root_eta2,real_family_eta2,real_affix_eta2
REP01_E05b,Qwen3-1.7B,full,family,16,0.5714285714285714,0.02961925236656249,0.03325274696827567,0.07872819748219602,0.2071496217786526,0.33234753094400155,0.08062668814691498
REP01_E05b,Qwen3-1.7B,full,family,17,0.6071428571428571,0.029865751391075668,0.033281903888298554,0.07900332333897085,0.20819910325016808,0.3333788111526004,0.08034212206304422
REP01_E05b,Qwen3-1.7B,full,family,18,0.6428571428571429,0.03015863816612408,0.033562647606348216,0.07957032013251604,0.20906123945130797,0.33406771302371957,0.07990155963741119
REP01_E05b,Qwen3-1.7B,full,family,19,0.6785714285714286,0.030365734906114026,0.033076248764189915,0.0795055204321554,0.209704482070299,0.334590742511578,0.07904933094415721
REP01_E05b,Qwen3-1.7B,full,family,20,0.7142857142857143,0.031429950930124156,0.03321151946917576,0.08059914623102181,0.21394668935630548,0.33849781604633156,0.07870710698125
REP01_E05b,Qwen3-1.7B,full,family,21,0.75,0.033340733296131714,0.0320365431427784,0.08189832364469553,0.2178128945051452,0.3423117488196219,0.0773409409898181
REP01_E05b,Qwen3-1.7B,full,family,22,0.7857142857142857,0.03517189196026251,0.028141877193409416,0.08321869990605618,0.22159550585615553,0.34632004317917897,0.07705645739133854
REP01_E05b,Qwen3-1.7B,full,family,23,0.8214285714285714,0.037575062555066936,0.026544553950571075,0.0854194735340741,0.2274694326318347,0.35252092033417826,0.07552598616221556
REP01_E05b,Qwen3-1.7B,full,family,24,0.8571428571428571,0.0380670506968675,0.026295701389914272,0.08676739275592302,0.23423029328155362,0.3589446893034548,0.0750232390442424
REP01_E05b,Qwen3-1.7B,full,family,25,0.8928571428571429,0.03859647929266911,0.02791081831882904,0.08806516591043856,0.24151003889846312,0.36546604974487956,0.07315307644951086
REP01_E05b,Qwen3-1.7B,full,family,26,0.9285714285714286,0.03839238556099691,0.02899153665134999,0.08820863837192068,0.2457101948863778,0.3690895554411516,0.06972620720427897
REP01_E05b,Qwen3-1.7B,full,family,27,0.9642857142857143,0.04037231139374618,0.03381547755829496,0.09077765163964156,0.25325719349770215,0.37584689083887823,0.06785738083915267
REP01_E05b,Qwen3-1.7B,full,family,28,1.0,0.0988308850992584,0.06797235541606594,0.18899632115033288,0.46255614052546473,0.5830468136744831,0.02876798619300566
REP01_E06,Qwen3-8B,base,item,0,0.0,0.048533515211188684,0.01886056549639396,0.23192307682263438,0.8165972721978929,nan,nan
REP01_E06,Qwen3-8B,base,item,1,0.027777777777777776,0.08588077304137838,0.03244379513081028,0.23381437915265782,0.835104070611338,nan,nan
REP01_E06,Qwen3-8B,base,item,2,0.05555555555555555,0.09007926042288468,0.05802566124972899,0.24107491711016898,0.8095427214315996,nan,nan
REP01_E06,Qwen3-8B,base,item,3,0.08333333333333333,0.09007846188907048,0.07326550279078486,0.24636194612104953,0.7922836241417398,nan,nan
REP01_E06,Qwen3-8B,base,item,4,0.1111111111111111,0.11809223288564497,0.06723187365672452,0.25751531294840907,0.7961322864109371,nan,nan
REP01_E06,Qwen3-8B,base,item,5,0.1388888888888889,0.10257737269702563,0.05164102223948434,0.23990705376704977,0.8192332999736972,nan,nan
REP01_E06,Qwen3-8B,base,item,6,0.16666666666666666,0.10110108599520656,0.0328756180248503,0.23534345274577909,0.8531939551908262,nan,nan
REP01_E06,Qwen3-8B,base,item,7,0.19444444444444445,0.06514446164163437,0.15739065393097326,0.2808094032455585,0.6928893839763184,nan,nan
REP01_E06,Qwen3-8B,base,item,8,0.2222222222222222,0.06514594900871787,0.15742613596483174,0.2808149384198908,0.6929050396210177,nan,nan
