run_id,model,surface,real_split,layer,normalized_depth,n_families,within_family_base_affix_cos,same_template_other_family_cos,different_template_cos,family_margin_vs_same_template,family_margin_vs_different_template,template_margin_inside_affix
REP01_E06b,Qwen3-8B,full,family,22,0.6111111111111112,128,0.7195003219580246,0.7101372559554875,0.7094330838881433,0.009363066002537113,0.010067238069881301,0.0007041720673441887
REP01_E06b,Qwen3-8B,full,family,23,0.6388888888888888,128,0.7163797164872542,0.7042539683170617,0.7024282985366881,0.012125748170192518,0.013951417950566092,0.0018256697803735733
REP01_E06b,Qwen3-8B,full,family,24,0.6666666666666666,128,0.7103167229284675,0.6923757479526103,0.688009780831635,0.017940974975857227,0.022306942096832483,0.004365967120975256
REP01_E06b,Qwen3-8B,full,family,25,0.6944444444444444,128,0.7025664789696872,0.6750900172628462,0.6674040439538658,0.027476461706840927,0.03516243501582139,0.007685973308980465
REP01_E06b,Qwen3-8B,full,family,26,0.7222222222222222,128,0.6953854331020581,0.6618237611837685,0.6521346508525312,0.033561671918289626,0.04325078224952694,0.009689110331237316
REP01_E06b,Qwen3-8B,full,family,27,0.75,128,0.6862510861986775,0.6448252350091934,0.6322037377394736,0.04142585118948405,0.05404734845920389,0.012621497269719839
REP01_E06b,Qwen3-8B,full,family,28,0.7777777777777778,128,0.675983923219018,0.6252911295741796,0.6096326373517513,0.05069279364483836,0.06635128586726668,0.015658492222428322
REP01_E06b,Qwen3-8B,full,family,29,0.8055555555555556,128,0.6598348228608147,0.5974809788167477,0.5782226710580289,0.062353844044067075,0.0816121518027858,0.01925830775871873
REP01_E06b,Qwen3-8B,full,family,30,0.8333333333333334,128,0.6450741894669452,0.5730819124728441,0.5496516493149102,0.07199227699410105,0.095422540152035,0.02343026315793395
REP01_E06b,Qwen3-8B,full,family,31,0.8611111111111112,128,0.618432478631957,0.5311328102834523,0.5012192488647997,0.08729966834850478,0.11721322976715731,0.029913561418652534
REP01_E06b,Qwen3-8B,full,family,32,0.8888888888888888,128,0.5957333475856458,0.4963333960622549,0.4630177584476769,0.09939995152339087,0.13271558913796888,0.03331563761457801
REP01_E06b,Qwen3-8B,full,family,33,0.9166666666666666,128,0.564078371403581,0.45475499145686626,0.4173924452625215,0.1093233799467147,0.14668592614105946,0.03736254619434476
