run_id,model,surface,probe,probe_label,layer,normalized_depth,accuracy,control_accuracy,selectivity,ngram_accuracy,top_pc_variance_ratio,edim90_fraction,effective_rank_fraction,mean_pairwise_cosine
REP01_E03,Qwen3-1.7B,base,train_real_test_nonce_overlap,real -> nonce,23,0.8214285714285714,0.54,0.17,0.37,0.58,0.9489234089851379,0.004347826086956522,0.0066608874967892745,0.7224754095077515
REP01_E03,Qwen3-1.7B,base,train_real_test_nonce_overlap,real -> nonce,24,0.8571428571428571,0.5,0.16,0.33999999999999997,0.58,0.9331888556480408,0.004347826086956522,0.0074552126276783565,0.7531120777130127
REP01_E03,Qwen3-1.7B,base,train_real_test_nonce_overlap,real -> nonce,25,0.8928571428571429,0.51,0.13,0.38,0.58,0.9167819023132324,0.004347826086956522,0.00834006386252772,0.7965184450149536
REP01_E03,Qwen3-1.7B,base,train_real_test_nonce_overlap,real -> nonce,26,0.9285714285714286,0.53,0.16,0.37,0.58,0.9014878869056702,0.004347826086956522,0.009247723981833034,0.8181019425392151
REP01_E03,Qwen3-1.7B,base,train_real_test_nonce_overlap,real -> nonce,27,0.9642857142857143,0.52,0.16,0.36,0.58,0.8841793537139893,0.013043478260869565,0.010260483378373762,0.8536310791969299
REP01_E03,Qwen3-1.7B,base,train_real_test_nonce_overlap,real -> nonce,28,1.0,0.48,0.17,0.30999999999999994,0.58,0.369346559047699,0.26521739130434785,0.1024807629281979,0.8709301352500916
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,0,0.0,0.36,0.12,0.24,0.78,0.05543307214975357,0.39565217391304347,0.3827512358583517,0.059349991381168365
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,1,0.03571428571428571,0.78,0.22,0.56,0.78,0.052259016782045364,0.4782608695652174,0.48353015071613836,0.3520108163356781
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,2,0.07142857142857142,0.84,0.22,0.62,0.78,0.5724548101425171,0.21304347826086956,0.0590765187929845,0.3747931122779846
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,3,0.10714285714285714,0.84,0.24,0.6,0.78,0.9999123215675354,0.004347826086956522,0.004353591989473463,0.23103170096874237
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,4,0.14285714285714285,0.88,0.3,0.5800000000000001,0.78,0.9998964667320251,0.004347826086956522,0.004354633660348767,0.22250384092330933
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,5,0.17857142857142858,0.84,0.28,0.5599999999999999,0.78,0.9998793005943298,0.004347826086956522,0.004355698060844525,0.2992098927497864
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,6,0.21428571428571427,0.78,0.12,0.66,0.78,0.9998403787612915,0.004347826086956522,0.004358040712010061,0.37966516613960266
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,7,0.25,0.76,0.18,0.5800000000000001,0.78,0.999812662601471,0.004347826086956522,0.0043596631509410415,0.4243277311325073
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,8,0.2857142857142857,0.74,0.14,0.6,0.78,0.9997925758361816,0.004347826086956522,0.004360820310034795,0.4800586998462677
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,9,0.32142857142857145,0.68,0.22,0.4600000000000001,0.78,0.9997584819793701,0.004347826086956522,0.004362751762157825,0.5310164093971252
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,10,0.35714285714285715,0.7,0.2,0.49999999999999994,0.78,0.9996799826622009,0.004347826086956522,0.004367123251027636,0.5472961664199829
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,11,0.39285714285714285,0.7,0.18,0.52,0.78,0.9995499849319458,0.004347826086956522,0.004374240709429055,0.5792918801307678
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,12,0.42857142857142855,0.66,0.24,0.42000000000000004,0.78,0.9993312954902649,0.004347826086956522,0.004385769091948168,0.6141757369041443
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,13,0.4642857142857143,0.68,0.28,0.4,0.78,0.9992752075195312,0.004347826086956522,0.00438859559058105,0.6248353719711304
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,14,0.5,0.72,0.28,0.43999999999999995,0.78,0.9991922974586487,0.004347826086956522,0.0043928020078329135,0.6352222561836243
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,15,0.5357142857142857,0.74,0.24,0.5,0.78,0.9990065097808838,0.004347826086956522,0.004401920298747274,0.6375209093093872
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,16,0.5714285714285714,0.72,0.22,0.5,0.78,0.9987617135047913,0.004347826086956522,0.004413949568549989,0.6495286226272583
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,17,0.6071428571428571,0.62,0.22,0.4,0.78,0.9966023564338684,0.004347826086956522,0.004516038860919237,0.5699270367622375
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,18,0.6428571428571429,0.64,0.2,0.44,0.78,0.995235025882721,0.004347826086956522,0.004577141495924555,0.5865043997764587
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,19,0.6785714285714286,0.72,0.2,0.52,0.78,0.9926632046699524,0.004347826086956522,0.004689092598410588,0.6059763431549072
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,20,0.7142857142857143,0.74,0.16,0.58,0.78,0.9859991669654846,0.004347826086956522,0.004980527168795431,0.6046269536018372
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,21,0.75,0.76,0.2,0.56,0.78,0.9756136536598206,0.004347826086956522,0.005436270074629203,0.6206919550895691
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,22,0.7857142857142857,0.76,0.24,0.52,0.78,0.9624401330947876,0.004347826086956522,0.006020482815643306,0.6826145648956299
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,23,0.8214285714285714,0.72,0.24,0.48,0.78,0.9489234089851379,0.004347826086956522,0.0066608874967892745,0.7224754095077515
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,24,0.8571428571428571,0.68,0.22,0.4600000000000001,0.78,0.9331888556480408,0.004347826086956522,0.0074552126276783565,0.7531120777130127
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,25,0.8928571428571429,0.72,0.2,0.52,0.78,0.9167819023132324,0.004347826086956522,0.00834006386252772,0.7965184450149536
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,26,0.9285714285714286,0.66,0.22,0.44000000000000006,0.78,0.9014878869056702,0.004347826086956522,0.009247723981833034,0.8181019425392151
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,27,0.9642857142857143,0.72,0.18,0.54,0.78,0.8841793537139893,0.013043478260869565,0.010260483378373762,0.8536310791969299
REP01_E03,Qwen3-1.7B,base,train_nonce_test_real_overlap,nonce -> real,28,1.0,0.62,0.14,0.48,0.78,0.369346559047699,0.26521739130434785,0.1024807629281979,0.8709301352500916
REP01_E05b,Qwen3-1.7B,full,real_templates_random,real templates,0,0.0,0.4444444444444444,0.041666666666666664,0.40277777777777773,0.6666666666666666,0.05414612218737602,0.23061224489795917,0.22352016222355472,0.058261554688215256
REP01_E05b,Qwen3-1.7B,full,real_templates_random,real templates,1,0.03571428571428571,0.6666666666666666,0.05555555555555555,0.611111111111111,0.6666666666666666,0.04361199960112572,0.3163265306122449,0.305091472341422,0.35241732001304626
REP01_E05b,Qwen3-1.7B,full,real_templates_random,real templates,2,0.07142857142857142,0.7361111111111112,0.041666666666666664,0.6944444444444445,0.6666666666666666,0.44683554768562317,0.19591836734693877,0.06262066162964922,0.38830557465553284
REP01_E05b,Qwen3-1.7B,full,real_templates_random,real templates,3,0.10714285714285714,0.7777777777777778,0.041666666666666664,0.7361111111111112,0.6666666666666666,0.9998534917831421,0.0020408163265306124,0.0020453242159116573,0.24667008221149445
REP01_E05b,Qwen3-1.7B,full,real_templates_random,real templates,4,0.14285714285714285,0.9027777777777778,0.08333333333333333,0.8194444444444444,0.6666666666666666,0.999821126461029,0.0020408163265306124,0.0020462751184415666,0.23432736098766327
REP01_E05b,Qwen3-1.7B,full,real_templates_random,real templates,5,0.17857142857142858,0.8611111111111112,0.041666666666666664,0.8194444444444445,0.6666666666666666,0.9997673034667969,0.0020408163265306124,0.0020477708696869296,0.29004618525505066
REP01_E05b,Qwen3-1.7B,full,real_templates_random,real templates,6,0.21428571428571427,0.8055555555555556,0.08333333333333333,0.7222222222222222,0.6666666666666666,0.9996858835220337,0.0020408163265306124,0.0020500308892144772,0.37018468976020813
REP01_E05b,Qwen3-1.7B,full,real_templates_random,real templates,7,0.25,0.8055555555555556,0.09722222222222222,0.7083333333333334,0.6666666666666666,0.9996283054351807,0.0020408163265306124,0.002051569398232913,0.4131966531276703
REP01_E05b,Qwen3-1.7B,full,real_templates_random,real templates,8,0.2857142857142857,0.7638888888888888,0.06944444444444445,0.6944444444444444,0.6666666666666666,0.999579668045044,0.0020408163265306124,0.00205285760845655,0.4726114273071289
